,id,name,chef,price,specialDish,phoneNumber,bookUrl,instagramUrl,chefInstagramUrl,mapUrl,website,curated_by,curatedByInstagramUrl,deliveryBy,deliveryUrl,menuUrl,isHidden,isPromoted,stars,legacy_id,published_at,created_by,updated_by,created_at,updated_at,neighborhood,city,reservation,slug
0,312,CORE,Clare Smyth,£125 (Tasting Menu),,+44 20 3937 5086,https://www.opentable.co.uk/widget/reservation/canvas?rid=138306&type=standard&theme=tall&overlay=false&domain=couk&lang=en-GB&r3abvariant=true&r3uid=viuQ6IRI&newtab=false&disablega=false,https://www.instagram.com/corebyclaresmyth/,https://www.instagram.com/chefclaresmyth/,https://goo.gl/maps/N84LNnitrspS8N4M7,https://www.corebyclaresmyth.com/,,,,,,0,0,2.0,036N28qoaexuxy0eYN9C,2021-01-20 16:49:34,,1.0,2021-01-20 16:49:34,2021-04-26 15:11:59,,,,core
1,313,C. B. at Bibendum,Claude Bosi,£185 (Tasting Menu),,+44 20 7629 8866,https://www.opentable.com/restref/client/?rid=80065&restref=80065&lang=en-US,https://www.instagram.com/claudebosiatbibendum/,,https://goo.gl/maps/MSWVZ2RG8iQYTtpa9,https://claudebosi.com/,,,,,,0,0,2.0,0adXSSSDDoWvPiVmhp9g,2021-01-20 16:49:36,,1.0,2021-01-20 16:49:36,2021-04-26 15:14:47,,,,c-b-at-bibendum
2,314,Le Bistroman Atelier,Stephane del Rio,Entre 60€ y 70€ por persona,Filet de boeuf Wellington,+34 914 47 2713,https://module.lafourchette.com/es_ES/module/505499-da7d0#/3203343/pdh,https://www.instagram.com/bistroman_atelier/,,https://goo.gl/maps/em4dmjg6rBWDrY7s7,https://lebistroman.es/,Gastro Godzilla,https://www.instagram.com/gastrogodzilla/,Teléfono,https://lebistroman.es/servicio-domicilio/,https://lebistroman.es/restaurant/,0,0,0.0,1BRW2NZrs1srK2ZVHFit,2021-01-20 16:49:38,,1.0,2021-01-20 16:49:38,2021-04-26 14:56:31,40.0,4.0,,le-bistroman-atelier
3,315,Mediamanga,Iván Castro,50€ per person,Gambita frita ahumada,+34 938 32 56 94,http://www.mediamanga.es/booking/reservar_mesa.php,https://www.instagram.com/mediamangabcn/,,https://goo.gl/maps/9QPLh7TGRfmYKeBx8,https://www.mediamanga.es/es/,Equipo Velada,,,,,0,0,0.0,1IAul9VsCfKiLzb0MaU3,2021-01-20 16:49:40,,1.0,2021-01-20 16:49:40,2021-04-26 14:52:28,31.0,5.0,,mediamanga
4,316,Zoko Madrid,Javi Álvarez,40€ pp,Empanada de atún en 3 texturas,+34 911 44 93 69,https://module.lafourchette.com/es_ES/module/508519-cb3dc#/3222593/pdh,https://www.instagram.com/zokomadrid/,https://www.instagram.com/chefjavieralvz/,https://goo.gl/maps/pbqTsSnL5NMc9bjP8,https://restaurantezoko.com/project/zoko-madrid/,Equipo Velada,https://www.instagram.com/velada.app/,Web Zoko,https://us12.eveve.com/takeaway/?est=zoko&country=spain&lang=es,https://restaurantezoko.com/wp-content/uploads/2020/05/carta-web-reapertura.jpg,0,0,0.0,1LItQJBULz2AmqslBLSX,2021-01-20 16:49:42,,1.0,2021-01-20 16:49:42,2021-04-26 14:42:51,28.0,4.0,,zoko-madrid
5,317,🛵 Pura Vida Cocktails,,10€ por cocktail,,+34 653 697 477,https://www.puravidacocktailsbarcelona.com/carta-de-comidas-y-bebidas-take-away/,https://www.instagram.com/puravidacocktails/,,https://goo.gl/maps/1ScMnTsHtMqcjsP98,https://www.puravidacocktailsbarcelona.com/,Equipo Velada,,,,,1,0,0.0,219xm9KzyK9gemAlQviy,2021-01-20 16:49:45,,,2021-01-20 16:49:45,2021-01-24 19:14:17,,,,
6,318,Gordon Ramsay Restaurant,Gordon Ramsay,£160 (Tasting Menu),,+44 20 7352 4448,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/book-a-table/,https://www.instagram.com/restaurantgordonramsay/,https://www.instagram.com/gordongram/,https://g.page/mazeGrillRHR?share,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,,,,,,0,0,3.0,2RN4mSdGOAvhL5Xrlc1S,2021-01-20 16:49:47,,1.0,2021-01-20 16:49:47,2021-04-26 15:05:35,,,,gordon-ramsay-restaurant
7,319,El Señor Martín,Alfonso Castellano,70€ por persona,Lomo de Jurel ahumado,+34 917957170,https://www.covermanager.com/reserve/module_restaurant/restaurante-senor-martin/spanish,https://www.instagram.com/elsrmartinrest/,https://www.instagram.com/alfonsocastellanochef/,https://g.page/elsrmartinrest?share,https://srmartin.es/,Equipo Velada,https://www.instagram.com/velada.app/,Teléfono,tel: +34 917 957 170,https://srmartin.es/wp-content/uploads/2020/10/Carta-El-Se%C3%B1or-Mart%C3%ADn-06.10.pdf,0,0,0.0,32dWDhRc9bpzHpZ399JT,2021-01-20 16:49:49,,2.0,2021-01-20 16:49:49,2021-05-06 01:31:25,24.0,4.0,,el-senor-martin
8,320,Doce Chiles,,25€ pp,,+34914497043,,https://www.instagram.com/docechiles/,,"https://www.google.com/maps/place/Doce+Chiles/@40.4275089,-3.6857597,15z/data=!4m2!3m1!1s0x0:0xf62bf1a4c4441c0d?sa=X&ved=2ahUKEwiBjcHI0o7tAhXCiVwKHSU3A54Q_BIwFXoECBYQBQ",https://docechiles.com/,Equipo Velada,https://www.instagram.com/velada.app/,Goxo app,https://docechiles.goxoapp.com/,,0,0,0.0,348lR7ChsipXBIyXSsxH,2021-01-20 16:49:51,,1.0,2021-01-20 16:49:51,2021-04-26 15:10:44,34.0,4.0,,doce-chiles
9,321,Sa brisa,Gonzalo Aragüez,40€ pp,Tacos de gambas,910 22 45 40,https://www.eltenedor.es/restaurante/sa-brisa-madrid-r380717#booking=&partySize=2,https://www.instagram.com/sabrisamadrid/,,https://goo.gl/maps/nNjQdTF6mSxz9McR6,https://www.restaurantesabrisa.es/es/,Equipo Velada,https://www.instagram.com/velada.app/,Glovo,https://glovoapp.com/es-es/mad/store/restaurante-sa-brisa-madrid/,https://estaticos.qdq.com/swdata/files/472/472632844/CARTA-Y-VINOS-2020.pdf,0,0,0.0,3o7eQeoWEMtacWxeoQAq,2021-01-20 16:49:53,,1.0,2021-01-20 16:49:53,2021-04-26 14:48:54,28.0,4.0,,sa-brisa
